,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
32,"Benedicta es, coelorum regina","(3, -2, -2, 2)","(3, -2, -2, 2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,22/3.0,26/3.0,-,-,-,-,-,-,-,-,-,-,172.0,204.0,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-
33,"Benedicta es, coelorum regina","(-2, -2, 2, -2)","(-3, -2, 2, -2)",Fuga,[Contratenor],[Contratenor],-,-,-,-,-,-,-,-,-,-,23/7/3,27/7/3,-,-,-,-,-,-,-,-,-,-,178.67,210.67,-,-,-,-,-,-,-,-,-,-,13.33,13.33,-,-,-,-,-,-,-,-,-,-
34,"Benedicta es, coelorum regina","(1, -2, -2, 3)","(2, -2, -2, 3)",PEN,[Discantus],[Tenor],[Contratenor],-,-,-,-,-,-,-,-,-,27/3.0,30/3.0,33/3.0,-,-,-,-,-,-,-,-,-,212.0,236.0,260.0,-,-,-,-,-,-,-,-,-,14.0,14.0,14.0,-,-,-,-,-,-,-,-,-
35,"Benedicta es, coelorum regina","(-2, -2, -2, -2)","(-2, -2, -2, -2)",Fuga,[QuintaVox],[QuintaVox],[QuintaVox],[QuintaVox],[Bassus],[Bassus],[Bassus],[Bassus],[SextaVox],[SextaVox],[SextaVox],[SextaVox],28/3.0,29/2.0,29/3.0,29/4.0,31/3.0,32/2.0,32/3.0,32/4.0,34/3.0,35/2.0,35/3.0,35/4.0,220.0,226.0,228.0,230.0,244.0,250.0,252.0,254.0,268.0,274.0,276.0,278.0,14.0,10.0,12.0,18.0,14.0,10.0,12.0,18.0,14.0,10.0,12.0,26.0
36,"Benedicta es, coelorum regina","(-2, 1, -2, 3)","(-2, 1, -2, 3)",PEN,[Discantus],[Tenor],[Contratenor],-,-,-,-,-,-,-,-,-,30/2.0,33/2.0,36/2.0,-,-,-,-,-,-,-,-,-,234.0,258.0,282.0,-,-,-,-,-,-,-,-,-,14.0,14.0,10.0,-,-,-,-,-,-,-,-,-
37,"Benedicta es, coelorum regina","(1, 2, 1, 2)","(1, 2, 1, 2)",Fuga,[Contratenor],[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,37/3.0,38/1.0,41/1.0,-,-,-,-,-,-,-,-,-,292.0,296.0,320.0,-,-,-,-,-,-,-,-,-,24.0,26.0,26.0,-,-,-,-,-,-,-,-,-
38,"Benedicta es, coelorum regina","(2, 1, 2, -3)","(2, 1, 2, -3)",Fuga,[Contratenor],[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,38/3.0,39/1.0,42/1.0,-,-,-,-,-,-,-,-,-,300.0,304.0,328.0,-,-,-,-,-,-,-,-,-,20.0,20.0,20.0,-,-,-,-,-,-,-,-,-
39,"Benedicta es, coelorum regina","(1, 2, -3, 1)","(1, 2, -3, 1)",Fuga,[Discantus],[Contratenor],[Tenor],[Contratenor],-,-,-,-,-,-,-,-,39/3.0,41/4.0,42/3.0,43/3.0,-,-,-,-,-,-,-,-,308.0,326.0,332.0,340.0,-,-,-,-,-,-,-,-,20.0,22.0,18.0,16.0,-,-,-,-,-,-,-,-
40,"Benedicta es, coelorum regina","(4, -2, -2, -2)","(4, -2, -2, -2)",Fuga,[Bassus],[SextaVox],-,-,-,-,-,-,-,-,-,-,40/1.0,48/3.5,-,-,-,-,-,-,-,-,-,-,312.0,381.0,-,-,-,-,-,-,-,-,-,-,10.0,11.0,-,-,-,-,-,-,-,-,-,-
41,"Benedicta es, coelorum regina","(-2, -2, -2, 2)","(-2, -2, -2, 2)",Fuga,[QuintaVox],[QuintaVox],[Discantus],[Tenor],-,-,-,-,-,-,-,-,40/2.0,41/4.0,42/2.0,44/4.0,-,-,-,-,-,-,-,-,314.0,326.0,330.0,350.0,-,-,-,-,-,-,-,-,10.0,10.0,10.0,10.0,-,-,-,-,-,-,-,-
42,"Benedicta es, coelorum regina","(-3, 1, 2, -3)","(-3, 1, 2, -3)",Fuga,[Contratenor],[Contratenor],-,-,-,-,-,-,-,-,-,-,41/1.0,43/1.0,-,-,-,-,-,-,-,-,-,-,320.0,336.0,-,-,-,-,-,-,-,-,-,-,26.0,16.0,-,-,-,-,-,-,-,-,-,-
43,"Benedicta es, coelorum regina","(2, -3, 1, 1)","(2, -3, 1, 2)",Fuga,[Contratenor],[QuintaVox],-,-,-,-,-,-,-,-,-,-,42/1.0,42/3.0,-,-,-,-,-,-,-,-,-,-,328.0,332.0,-,-,-,-,-,-,-,-,-,-,23.0,20.0,-,-,-,-,-,-,-,-,-,-
44,"Benedicta es, coelorum regina","(-2, -2, 3, -2)","(-2, -2, 2, -2)",Fuga,[Bassus],[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,42/1.5,42/3.5,45/1.5,-,-,-,-,-,-,-,-,-,329.0,333.0,353.0,-,-,-,-,-,-,-,-,-,13.0,11.0,15.0,-,-,-,-,-,-,-,-,-
45,"Benedicta es, coelorum regina","(-2, -2, 1, -2)","(-2, -2, 1, -2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,45/3.0,47/3.0,-,-,-,-,-,-,-,-,-,-,356.0,372.0,-,-,-,-,-,-,-,-,-,-,28.0,28.0,-,-,-,-,-,-,-,-,-,-
46,"Benedicta es, coelorum regina","(-2, -2, 2, 2)","(-2, -3, 2, 2)",Fuga,[Contratenor],[Contratenor],-,-,-,-,-,-,-,-,-,-,45/4.0,48/1.0,-,-,-,-,-,-,-,-,-,-,358.0,376.0,-,-,-,-,-,-,-,-,-,-,10.0,18.0,-,-,-,-,-,-,-,-,-,-
47,"Benedicta es, coelorum regina","(2, 2, 2, -2)","(2, 2, 2, -2)",Fuga,[Contratenor],[QuintaVox],-,-,-,-,-,-,-,-,-,-,46/2.0,48/4.0,-,-,-,-,-,-,-,-,-,-,362.0,382.0,-,-,-,-,-,-,-,-,-,-,12.0,10.0,-,-,-,-,-,-,-,-,-,-
