,piece_title,pattern_generating_match,pattern_matched,predicted_type,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,part,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,start_offset,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs,sum_durs
19,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 2)",Fuga,[Contratenor 2],[Contratenor 1],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,22/4.5,25/4.5,29/2.5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,175.0,199.0,227.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,11.0,13.0,13.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
20,Missa Benedicta es - Kyrie,"(2, 2, -2, -3)","(2, 2, -2, -3)",Fuga,[Discantus],[Discantus],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23/1.0,26/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,176.0,200.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
21,Missa Benedicta es - Kyrie,"(-2, 2, 2, -2)","(-2, 2, 2, -2)",Fuga,[Tenor],[Contratenor 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,23/2.0,24/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,178.0,186.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,18.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
22,Missa Benedicta es - Kyrie,"(2, 2, -3, 2)","(2, 2, -2, 2)",Fuga,[Contratenor 2],[Bassus 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,24/4.0,28/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,190.0,216.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,16.0,20.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
23,Missa Benedicta es - Kyrie,"(-2, 1, -2, 2)","(-2, 1, -2, 2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/2.0,32/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234.0,252.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,16.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
24,Missa Benedicta es - Kyrie,"(2, -2, -3, 3)","(2, -2, -2, 3)",Fuga,[Tenor],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,30/2.0,32/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,234.0,250.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
25,Missa Benedicta es - Kyrie,"(8, -2, -2, -2)","(8, -2, -2, -2)",Fuga,[Contratenor 2],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,33/4.0,36/2.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,262.0,282.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
26,Missa Benedicta es - Kyrie,"(-2, -2, -2, 1)","(-2, -2, -2, 2)",Fuga,[Discantus],[Tenor],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35/3.0,36/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,276.0,286.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,10.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
27,Missa Benedicta es - Kyrie,"(-2, -2, 2, 2)","(-2, -3, 2, 2)",Fuga,[Contratenor 1],[Contratenor 1],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,35/4.0,38/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,278.0,296.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,29.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
28,Missa Benedicta es - Kyrie,"(2, 1, 2, -3)","(1, 1, 2, -3)",Fuga,[Bassus 1],[Bassus 2],[Contratenor 2],[Contratenor 1],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40/1.0,41/4.0,43/2.0,44/2.0,45/4.0,47/1.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,320.0,334.0,346.0,354.0,366.0,376.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,10.0,10.0,10.0,10.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
29,Missa Benedicta es - Kyrie,"(2, 2, -3, 2)","(1, 2, -3, 2)",Fuga,[Bassus 1],[Bassus 2],[Contratenor 2],[Contratenor 1],[Bassus 1],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,40/3.0,42/1.0,43/3.0,44/3.0,46/1.0,47/3.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,324.0,336.0,348.0,356.0,368.0,380.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,12.0,16.0,10.0,12.0,12.0,12.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
30,Missa Benedicta es - Kyrie,"(2, -3, 2, -4)","(2, -3, 2, -5)",Fuga,[Bassus 2],[Contratenor 2],[Bassus 2],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,42/2.0,43/4.0,47/4.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,338.0,350.0,382.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,18.0,10.0,14.0,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
